,연번,호선,역명,소요시간,역간거리(km),호선별누계(km),환승
0,1,1,서울역,0:00,0,0,TRUE
1,2,1,시청,2:00,1.1,1.1,TRUE
2,3,1,종각,2:00,1,2.1,FALSE
3,4,1,종로3가,1:30,0.8,2.9,TRUE
4,5,1,종로5가,1:30,0.9,3.8,FALSE
5,6,1,동대문,1:30,0.8,4.6,TRUE
6,7,1,동묘앞,1:00,0.6,5.2,TRUE
7,8,1,신설동,1:30,0.7,5.9,TRUE
8,9,1,제기동,1:30,0.9,6.8,FALSE
9,10,1,청량리,1:30,1,7.8,FALSE
10,11,2,시청,0:00,0,0,TRUE
11,12,2,을지로입구,1:30,0.7,0.7,FALSE
12,13,2,을지로3가,1:00,0.8,1.5,TRUE
13,14,2,을지로4가,1:00,0.6,2.1,TRUE
14,15,2,동대문역사문화공원,1:30,1,3.1,TRUE
15,16,2,신당,1:30,0.9,4,TRUE
16,17,2,상왕십리,1:00,0.9,4.9,FALSE
17,18,2,왕십리,1:00,0.8,5.7,TRUE
18,19,2,한양대,1:30,1,6.7,FALSE
19,20,2,뚝섬,1:30,1.1,7.8,FALSE
20,21,2,성수,1:00,0.8,8.6,FALSE
21,22,2,건대입구,1:30,1.2,9.8,TRUE
22,23,2,구의,2:00,1.6,11.4,FALSE
23,24,2,강변,1:00,0.9,12.3,FALSE
24,25,2,잠실나루,2:00,1.8,14.1,FALSE
25,26,2,잠실,1:30,1,15.1,TRUE
26,27,2,잠실새내,1:30,1.2,16.3,FALSE
27,28,2,종합운동장,1:30,1.2,17.5,FALSE
28,29,2,삼성,1:30,1,18.5,FALSE
29,30,2,선릉,1:30,1.3,19.8,FALSE
30,31,2,역삼,1:30,1.2,21,FALSE
31,32,2,강남,1:00,0.8,21.8,FALSE
32,33,2,교대,1:30,1.2,23,TRUE
33,34,2,서초,1:00,0.7,23.7,FALSE
34,35,2,방배,2:00,1.7,25.4,FALSE
35,36,2,사당,2:30,1.6,27,TRUE
36,37,2,낙성대,2:00,1.7,28.7,FALSE
37,38,2,서울대입구,1:30,1,29.7,FALSE
38,39,2,봉천,1:00,1,30.7,FALSE
39,40,2,신림,1:30,1.1,31.8,FALSE
40,41,2,신대방,2:00,1.8,33.6,FALSE
41,42,2,구로디지털단지,1:30,1.1,34.7,FALSE
42,43,2,대림,1:30,1.1,35.8,TRUE
43,44,2,신도림,2:30,1.8,37.6,FALSE
44,45,2,문래,2:00,1.2,38.8,FALSE
45,46,2,영등포구청,1:00,0.9,39.7,TRUE
46,47,2,당산,1:30,1.1,40.8,FALSE
47,48,2,합정,2:30,2,42.8,TRUE
48,49,2,홍대입구,1:30,1.1,43.9,FALSE
49,50,2,신촌,2:00,1.3,45.2,FALSE
50,51,2,이대,1:00,0.8,46,FALSE
51,52,2,아현,1:00,0.9,46.9,FALSE
52,53,2,충정로,1:30,0.8,47.7,TRUE
53,54,2,시청,1:30,1.1,48.8,TRUE
54,55,2,용답,3:00,2.3,51.1,FALSE
55,56,2,신답,1:30,1,52.1,FALSE
56,57,2,용두,1:30,0.9,53,FALSE
57,58,2,신설동,1:30,1.2,54.2,TRUE
58,59,2,도림천,1:30,1,55.2,FALSE
59,60,2,양천구청,2:30,1.7,56.9,FALSE
60,61,2,신정네거리,3:00,1.9,58.8,FALSE
61,62,2,까치산,2:30,1.4,60.2,TRUE
62,63,3,지축,0:00,0,0,FALSE
63,64,3,구파발,3:00,1.5,1.5,FALSE
64,65,3,연신내,2:00,2,3.5,TRUE
65,66,3,불광,1:30,1.3,4.8,TRUE
66,67,3,녹번,1:30,1.1,5.9,FALSE
67,68,3,홍제,2:00,1.6,7.5,FALSE
68,69,3,무악재,1:30,0.9,8.4,FALSE
69,70,3,독립문,1:30,1.1,9.5,FALSE
70,71,3,경복궁,2:00,1.6,11.1,FALSE
71,72,3,안국,1:30,1.1,12.2,FALSE
72,73,3,종로3가,1:30,1,13.2,TRUE
73,74,3,을지로3가,1:00,0.6,13.8,TRUE
74,75,3,충무로,1:00,0.7,14.5,TRUE
75,76,3,동대입구,1:30,0.9,15.4,FALSE
76,77,3,약수,1:00,0.7,16.1,TRUE
77,78,3,금호,1:00,0.8,16.9,FALSE
78,79,3,옥수,1:00,0.8,17.7,FALSE
79,80,3,압구정,2:00,2.1,19.8,FALSE
80,81,3,신사,2:00,1.5,21.3,FALSE
81,82,3,잠원,1:30,0.9,22.2,FALSE
82,83,3,고속터미널,1:30,1.2,23.4,TRUE
83,84,3,교대,2:00,1.6,25,TRUE
84,85,3,남부터미널,1:30,0.9,25.9,FALSE
85,86,3,양재,2:00,1.8,27.7,FALSE
86,87,3,매봉,2:00,1.2,28.9,FALSE
87,88,3,도곡,1:30,0.8,29.7,FALSE
88,89,3,대치,1:00,0.8,30.5,FALSE
89,90,3,학여울,1:00,0.8,31.3,FALSE
90,91,3,대청,1:30,0.9,32.2,FALSE
91,92,3,일원,1:30,1.2,33.4,FALSE
92,93,3,수서,2:00,1.8,35.2,FALSE
93,94,3,가락시장,2:00,1.4,36.6,TRUE
94,95,3,경찰병원,1:00,0.8,37.4,FALSE
95,96,3,오금,1:00,0.8,38.2,TRUE
96,97,4,당고개,0:00,0,0,FALSE
97,98,4,상계,1:30,1.2,1.2,FALSE
98,99,4,노원,1:30,1,2.2,TRUE
99,100,4,창동,2:00,1.4,3.6,FALSE
100,101,4,쌍문,1:30,1.3,4.9,FALSE
101,102,4,수유,2:00,1.5,6.4,FALSE
102,103,4,미아,1:30,1.4,7.8,FALSE
103,104,4,미아사거리,2:00,1.5,9.3,FALSE
104,105,4,길음,1:30,1.3,10.6,FALSE
105,106,4,성신여대입구,2:00,1.4,12,FALSE
106,107,4,한성대입구,1:30,1,13,FALSE
107,108,4,혜화,1:30,0.9,13.9,FALSE
108,109,4,동대문,2:00,1.5,15.4,TRUE
109,110,4,동대문역사문화공원,1:00,0.7,16.1,TRUE
110,111,4,충무로,2:00,1.3,17.4,TRUE
111,112,4,명동,1:00,0.7,18.1,FALSE
112,113,4,회현,1:00,0.7,18.8,FALSE
113,114,4,서울역,1:30,0.9,19.7,TRUE
114,115,4,숙대입구,1:30,1,20.7,FALSE
115,116,4,삼각지,1:30,1.2,21.9,TRUE
116,117,4,신용산,1:00,0.7,22.6,FALSE
117,118,4,이촌,1:30,1.3,23.9,FALSE
118,119,4,동작,3:00,2.7,26.6,FALSE
119,120,4,총신대입구,2:30,1.8,28.4,FALSE
120,121,4,사당,1:30,1.1,29.5,TRUE
121,122,4,남태령,1:30,1.6,31.1,FALSE
122,123,5,방화,0:00,0,0,FALSE
123,124,5,개화산,1:30,0.9,0.9,FALSE
124,125,5,김포공항,1:40,1.2,2.1,FALSE
125,126,5,송정,2:10,1.2,3.3,FALSE
126,127,5,마곡,1:30,1.1,4.4,FALSE
127,128,5,발산,1:40,1.2,5.6,FALSE
128,129,5,우장산,1:30,1.1,6.7,FALSE
129,130,5,화곡,1:30,1,7.7,FALSE
130,131,5,까치산,1:30,1.2,8.9,TRUE
131,132,5,신정,1:50,1.3,10.2,FALSE
